Bigram Language Model Smoothing Results
=====================================

Formulas:
1. Add-One: P(w2|w1) = (count(w1,w2) + 1) / (count(w1) + V)
2. Add-K: P(w2|w1) = (count(w1,w2) + 0.3) / (count(w1) + 0.3*V)
3. Token Type: P(w2|w1) = (count(w1,w2) + V) / (count(w1) + V²)

Bigram	Count	ContextCount	AddOne	AddK	TokenType
('<s>', 'আপনাদের')	3	0	0.000493	0.001356	0.000123
('আপনাদের', 'এই')	1	7	0.000246	0.000533	0.000123
('এই', 'নাচের')	1	162	0.000242	0.000501	0.000123
('নাচের', 'উদ্দেশ্য')	1	1	0.000246	0.000534	0.000123
('উদ্দেশ্য', 'আছে')	1	2	0.000246	0.000534	0.000123
('আছে', '</s>')	15	29	0.001965	0.006211	0.000123
('<s>', 'যখন')	2	0	0.000370	0.000945	0.000123
('যখন', 'সামরিক')	1	11	0.000246	0.000532	0.000123
('সামরিক', 'শাসন')	1	1	0.000246	0.000534	0.000123
('শাসন', 'আসে')	1	1	0.000246	0.000534	0.000123
('আসে', 'তখন')	1	10	0.000246	0.000532	0.000123
('তখন', 'তো')	1	17	0.000246	0.000530	0.000123
('তো', 'আপনারা')	1	15	0.000246	0.000531	0.000123
('আপনারা', 'কথা')	1	5	0.000246	0.000533	0.000123
('কথা', 'বলেন')	7	43	0.000981	0.002947	0.000123
('বলেন', 'না')	1	78	0.000244	0.000517	0.000123
('না', '</s>')	47	115	0.005833	0.018555	0.000124
('<s>', 'এই')	39	0	0.004930	0.016145	0.000124
('এই', 'সরকারের')	1	162	0.000242	0.000501	0.000123
('সরকারের', 'বিদেশিদের')	1	11	0.000246	0.000532	0.000123
('বিদেশিদের', 'কাছে')	1	1	0.000246	0.000534	0.000123
('কাছে', 'আনুগত্য')	1	20	0.000246	0.000530	0.000123
('আনুগত্য', 'নেই')	1	1	0.000246	0.000534	0.000123
('নেই', '</s>')	18	24	0.002335	0.007444	0.000124
('আপনাদের', 'আছে')	1	7	0.000246	0.000533	0.000123
('<s>', '”')	10	0	0.001356	0.004231	0.000123
('”', '</s>')	5	16	0.000738	0.002163	0.000123
('<s>', '২')	5	0	0.000739	0.002177	0.000123
('২', 'য়টা')	1	21	0.000246	0.000529	0.000123
('য়টা', 'মজার')	1	1	0.000246	0.000534	0.000123
('মজার', 'কিন্তু')	1	1	0.000246	0.000534	0.000123
('কিন্তু', 'শেষটা')	1	52	0.000245	0.000523	0.000123
('শেষটা', 'ভয়ংকর')	1	1	0.000246	0.000534	0.000123
('ভয়ংকর', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'বাংলাদেশে')	2	0	0.000370	0.000945	0.000123
('বাংলাদেশে', 'এক')	1	5	0.000246	0.000533	0.000123
('এক', 'শ্রেণির')	1	60	0.000245	0.000521	0.000123
('শ্রেণির', 'লোক')	1	1	0.000246	0.000534	0.000123
('লোক', 'আছে')	1	3	0.000246	0.000533	0.000123
('আছে', 'যারা')	1	29	0.000246	0.000528	0.000123
('যারা', 'প্রসঙ্গ')	1	11	0.000246	0.000532	0.000123
('প্রসঙ্গ', 'উঠলেই')	1	1	0.000246	0.000534	0.000123
('উঠলেই', 'বর্তমান')	1	1	0.000246	0.000534	0.000123
('বর্তমান', 'সরকার')	1	9	0.000246	0.000532	0.000123
('সরকার', 'কে')	1	24	0.000246	0.000529	0.000123
('কে', 'স্বৈরাচার')	1	15	0.000246	0.000531	0.000123
('স্বৈরাচার', 'উল্লেখ')	1	2	0.000246	0.000534	0.000123
('উল্লেখ', 'করে')	3	4	0.000493	0.001353	0.000123
('করে', 'সরকারের')	1	192	0.000241	0.000495	0.000123
('সরকারের', 'আমলে')	1	11	0.000246	0.000532	0.000123
('আমলে', 'দেশে')	1	2	0.000246	0.000534	0.000123
('দেশে', 'বাক')	1	14	0.000246	0.000531	0.000123
('বাক', 'স্বাধীনতা')	2	5	0.000370	0.000943	0.000123
('স্বাধীনতা', 'নাই')	3	6	0.000493	0.001352	0.000123
('নাই', ',')	2	8	0.000369	0.000942	0.000123
(',', 'কথা')	1	779	0.000225	0.000405	0.000123
('কথা', 'বলার')	1	43	0.000245	0.000525	0.000123
('বলার', 'স্বাধীনতা')	1	3	0.000246	0.000533	0.000123
('নাই', 'বলে')	2	8	0.000369	0.000942	0.000123
('বলে', 'সমানতালে')	1	54	0.000245	0.000522	0.000123
('সমানতালে', 'জিকির')	1	1	0.000246	0.000534	0.000123
('জিকির', 'তোলে')	1	2	0.000246	0.000534	0.000123
('তোলে', '</s>')	1	2	0.000246	0.000534	0.000123
('<s>', 'অথচ')	1	0	0.000246	0.000534	0.000123
('অথচ', 'বাক')	1	4	0.000246	0.000533	0.000123
('বাক', 'স্বাধীনতার')	2	5	0.000370	0.000943	0.000123
('স্বাধীনতার', 'সম্পূর্ণ')	1	4	0.000246	0.000533	0.000123
('সম্পূর্ণ', 'স্পেস')	1	3	0.000246	0.000533	0.000123
('স্পেস', 'নৈতিক')	1	1	0.000246	0.000534	0.000123
('নৈতিক', 'বা')	1	1	0.000246	0.000534	0.000123
('বা', 'অনৈতিক')	1	53	0.000245	0.000523	0.000123
('অনৈতিক', 'সেটা')	1	1	0.000246	0.000534	0.000123
('সেটা', 'তারাই')	1	14	0.000246	0.000531	0.000123
('তারাই', 'ভোগ')	1	1	0.000246	0.000534	0.000123
('ভোগ', 'করে')	1	1	0.000246	0.000534	0.000123
('করে', '</s>')	32	192	0.003973	0.012299	0.000124
('<s>', 'ব্যাখ্যা')	2	0	0.000370	0.000945	0.000123
('ব্যাখ্যা', 'চান')	1	6	0.000246	0.000533	0.000123
('চান', '</s>')	6	8	0.000862	0.002580	0.000123
('<s>', 'বিভিন্ন')	2	0	0.000370	0.000945	0.000123
('বিভিন্ন', 'সভা')	1	36	0.000245	0.000526	0.000123
('সভা', 'সেমিনারের')	1	12	0.000246	0.000531	0.000123
('সেমিনারের', 'বক্তব্য')	1	1	0.000246	0.000534	0.000123
('বক্তব্য', 'কিংবা')	1	11	0.000246	0.000532	0.000123
('কিংবা', 'টক')	1	4	0.000246	0.000533	0.000123
('টক', 'শো')	1	2	0.000246	0.000534	0.000123
('শো', 'গুলোতে')	1	1	0.000246	0.000534	0.000123
('গুলোতে', 'নজর')	1	3	0.000246	0.000533	0.000123
('নজর', 'দিন')	1	4	0.000246	0.000533	0.000123
('দিন', '</s>')	2	25	0.000369	0.000935	0.000123
('<s>', 'এহেন')	1	0	0.000246	0.000534	0.000123
('এহেন', 'এমন')	1	2	0.000246	0.000534	0.000123
('এমন', 'কোনো')	1	29	0.000246	0.000528	0.000123
('কোনো', 'অশোভন')	1	9	0.000246	0.000532	0.000123
('অশোভন', 'বক্তব্য')	1	2	0.000246	0.000534	0.000123
('বক্তব্য', 'বা')	1	11	0.000246	0.000532	0.000123
('বা', 'মত')	1	53	0.000245	0.000523	0.000123
('মত', 'প্রকাশ')	1	4	0.000246	0.000533	0.000123
('প্রকাশ', 'বাকি')	1	12	0.000246	0.000531	0.000123
('বাকি', 'রাখে')	1	4	0.000246	0.000533	0.000123
('রাখে', 'না')	1	1	0.000246	0.000534	0.000123
('না', 'তারা')	1	115	0.000243	0.000510	0.000123
('তারা', ',')	1	38	0.000245	0.000526	0.000123
(',', 'যা')	5	779	0.000675	0.001649	0.000123
('যা', 'উপস্থাপন')	1	18	0.000246	0.000530	0.000123
('উপস্থাপন', 'করে')	1	1	0.000246	0.000534	0.000123
('করে', 'এক')	1	192	0.000241	0.000495	0.000123
('এক', 'হাত')	3	60	0.000489	0.001323	0.000123
('হাত', 'নিচ্ছে')	1	20	0.000246	0.000530	0.000123
('নিচ্ছে', 'না')	1	4	0.000246	0.000533	0.000123
('<s>', 'স্বাভাবিক')	1	0	0.000246	0.000534	0.000123
('স্বাভাবিক', 'কারণেই')	1	4	0.000246	0.000533	0.000123
('কারণেই', 'জানতে')	1	2	0.000246	0.000534	0.000123
('জানতে', 'চাইতে')	1	8	0.000246	0.000532	0.000123
('চাইতে', 'পারি')	1	1	0.000246	0.000534	0.000123
('পারি', ',')	1	8	0.000246	0.000532	0.000123
(',', 'তারপরেও')	1	779	0.000225	0.000405	0.000123
('তারপরেও', 'কেন')	1	1	0.000246	0.000534	0.000123
('কেন', 'তারা')	1	8	0.000246	0.000532	0.000123
('তারা', 'বাক')	1	38	0.000245	0.000526	0.000123
('বলে', 'রেগুলার')	1	54	0.000245	0.000522	0.000123
('রেগুলার', 'জিকির')	1	1	0.000246	0.000534	0.000123
('জিকির', 'করে')	1	2	0.000246	0.000534	0.000123
('<s>', 'কেন')	1	0	0.000246	0.000534	0.000123
('কেন', '</s>')	2	8	0.000369	0.000942	0.000123
('<s>', 'জানি')	1	0	0.000246	0.000534	0.000123
('জানি', 'এই')	2	8	0.000369	0.000942	0.000123
('এই', 'প্রশ্নের')	3	162	0.000483	0.001271	0.000123
('প্রশ্নের', 'উত্তর')	1	6	0.000246	0.000533	0.000123
('উত্তর', 'নাই')	1	9	0.000246	0.000532	0.000123
('নাই', '</s>')	3	8	0.000492	0.001351	0.000123
('<s>', 'কারণ')	9	0	0.001232	0.003821	0.000123
('কারণ', 'যাদের')	1	20	0.000246	0.000530	0.000123
('যাদের', 'উত্তর')	1	2	0.000246	0.000534	0.000123
('উত্তর', 'দেয়ার')	1	9	0.000246	0.000532	0.000123
('দেয়ার', 'কথা')	1	4	0.000246	0.000533	0.000123
('কথা', 'তারা')	1	43	0.000245	0.000525	0.000123
('তারা', 'নিজেরাই')	1	38	0.000245	0.000526	0.000123
('নিজেরাই', 'জানে')	1	2	0.000246	0.000534	0.000123
('জানে', 'না')	3	3	0.000493	0.001354	0.000123
('না', ',')	11	115	0.001458	0.004433	0.000123
(',', 'বাক')	1	779	0.000225	0.000405	0.000123
('স্বাধীনতার', 'মানে')	1	4	0.000246	0.000533	0.000123
('মানে', 'কী')	1	3	0.000246	0.000533	0.000123
('কী', '</s>')	1	6	0.000246	0.000533	0.000123
('<s>', 'কিছুদিন')	3	0	0.000493	0.001356	0.000123
('কিছুদিন', 'আগেই')	2	5	0.000370	0.000943	0.000123
('আগেই', 'পাকিস্তানের')	1	6	0.000246	0.000533	0.000123
('পাকিস্তানের', 'একটি')	1	3	0.000246	0.000533	0.000123
('একটি', 'মন্দিরে')	1	70	0.000244	0.000519	0.000123
('মন্দিরে', 'ত্রাণ')	1	1	0.000246	0.000534	0.000123
('ত্রাণ', 'বিলি')	2	4	0.000370	0.000943	0.000123
('বিলি', 'করতে')	1	3	0.000246	0.000533	0.000123
('দেখা', 'গিয়েছিল')	1	29	0.000246	0.000528	0.000123
('গিয়েছিল', 'আফ্রিদিকে')	1	1	0.000246	0.000534	0.000123
('আফ্রিদিকে', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'তারপর')	6	0	0.000863	0.002588	0.000123
('তারপর', 'বালুচিস্তানের')	1	7	0.000246	0.000533	0.000123
('বালুচিস্তানের', 'প্রত্যন্ত')	1	1	0.000246	0.000534	0.000123
('প্রত্যন্ত', 'গ্রামে')	1	2	0.000246	0.000534	0.000123
('গ্রামে', 'গিয়েও')	1	3	0.000246	0.000533	0.000123
('গিয়েও', 'ত্রাণ')	1	1	0.000246	0.000534	0.000123
('বিলি', 'করেছিলেন')	1	3	0.000246	0.000533	0.000123
('করেছিলেন', 'তিনি')	1	7	0.000246	0.000533	0.000123
('তিনি', '</s>')	16	102	0.002069	0.006427	0.000123
('<s>', 'আফ্রিদির')	1	0	0.000246	0.000534	0.000123
('আফ্রিদির', 'সতীর্থ')	1	1	0.000246	0.000534	0.000123
('সতীর্থ', 'মহম্মদ')	1	1	0.000246	0.000534	0.000123
('মহম্মদ', 'হাফিজ')	1	2	0.000246	0.000534	0.000123
('হাফিজ', 'তাঁর')	1	3	0.000246	0.000533	0.000123
('তাঁর', 'দ্রুত')	1	25	0.000246	0.000529	0.000123
('দ্রুত', 'আরোগ্য')	2	6	0.000369	0.000943	0.000123
('আরোগ্য', 'কামনা')	2	2	0.000370	0.000944	0.000123
('কামনা', 'করেছেন')	1	6	0.000246	0.000533	0.000123
('করেছেন', '</s>')	12	31	0.001596	0.004989	0.000123
('<s>', 'টুইটারে')	1	0	0.000246	0.000534	0.000123
('টুইটারে', 'তিনি')	1	1	0.000246	0.000534	0.000123
('তিনি', 'লিখেছেন')	2	102	0.000365	0.000907	0.000123
(',', "'")	9	779	0.001124	0.002894	0.000123
("'", "'")	4	59	0.000612	0.001725	0.000123
("'", 'তুমি')	1	59	0.000245	0.000521	0.000123
('তুমি', 'স্বভাবতই')	1	5	0.000246	0.000533	0.000123
('স্বভাবতই', 'একজন')	1	1	0.000246	0.000534	0.000123
('একজন', 'ফাইটার')	1	21	0.000246	0.000529	0.000123
('ফাইটার', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'আমি')	8	0	0.001109	0.003410	0.000123
('আমি', 'জানি')	2	40	0.000368	0.000930	0.000123
('এই', 'প্রাণঘাতী')	1	162	0.000242	0.000501	0.000123
('প্রাণঘাতী', 'ভাইরাসের')	1	1	0.000246	0.000534	0.000123
('ভাইরাসের', 'বিরুদ্ধে')	1	3	0.000246	0.000533	0.000123
('বিরুদ্ধে', 'তুমি')	1	15	0.000246	0.000531	0.000123
('তুমি', 'লড়াই')	1	5	0.000246	0.000533	0.000123
('লড়াই', 'করবে')	1	2	0.000246	0.000534	0.000123
('করবে', 'এবং')	2	9	0.000369	0.000941	0.000123
('এবং', 'জিতবে')	1	131	0.000243	0.000507	0.000123
('জিতবে', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'তোমার')	2	0	0.000370	0.000945	0.000123
('তোমার', 'দ্রুত')	1	8	0.000246	0.000532	0.000123
('কামনা', 'করি')	1	6	0.000246	0.000533	0.000123
('করি', '</s>')	2	11	0.000369	0.000941	0.000123
('<s>', "'")	17	0	0.002218	0.007107	0.000124
("'", '</s>')	8	59	0.001101	0.003329	0.000123
('<s>', 'মঙ্গলবার')	5	0	0.000739	0.002177	0.000123
('মঙ্গলবার', 'সংসদে')	1	16	0.000246	0.000531	0.000123
('সংসদে', 'প্রধানমন্ত্রী')	1	2	0.000246	0.000534	0.000123
('প্রধানমন্ত্রী', 'শেখ')	1	14	0.000246	0.000531	0.000123
('শেখ', 'হাসিনার')	2	3	0.000370	0.000944	0.000123
('হাসিনার', 'দেয়া')	1	2	0.000246	0.000534	0.000123
('দেয়া', 'সমাপনী')	1	8	0.000246	0.000532	0.000123
('সমাপনী', 'বক্তব্যের')	1	1	0.000246	0.000534	0.000123
('বক্তব্যের', 'নিন্দা')	2	3	0.000370	0.000944	0.000123
('নিন্দা', 'জানিয়ে')	1	5	0.000246	0.000533	0.000123
('জানিয়ে', 'এই')	1	6	0.000246	0.000533	0.000123
('এই', 'বিএনপি')	1	162	0.000242	0.000501	0.000123
('বিএনপি', 'নেতা')	2	8	0.000369	0.000942	0.000123
('নেতা', 'বলেন')	1	16	0.000246	0.000531	0.000123
('বলেন', ',')	69	78	0.008545	0.027585	0.000124
(',', '“')	10	779	0.001237	0.003206	0.000123
('“', 'প্রধানমন্ত্রী')	1	19	0.000246	0.000530	0.000123
('প্রধানমন্ত্রী', 'সংসদের')	1	14	0.000246	0.000531	0.000123
('সংসদের', 'বাইরে')	1	2	0.000246	0.000534	0.000123
('বাইরে', 'এবং')	1	14	0.000246	0.000531	0.000123
('এবং', 'সর্বশেষ')	1	131	0.000243	0.000507	0.000123
('সর্বশেষ', 'গতকাল')	1	4	0.000246	0.000533	0.000123
('গতকাল', 'সংসদের')	1	9	0.000246	0.000532	0.000123
('সংসদের', 'সমাপনীতে')	1	2	0.000246	0.000534	0.000123
('সমাপনীতে', 'বিরোধী')	1	1	0.000246	0.000534	0.000123
('বিরোধী', 'দলীয়')	1	6	0.000246	0.000533	0.000123
('দলীয়', 'নেতা')	1	3	0.000246	0.000533	0.000123
('নেতা', 'সম্পর্কে')	1	16	0.000246	0.000531	0.000123
('সম্পর্কে', 'নিম্নরুচির')	1	7	0.000246	0.000533	0.000123
('নিম্নরুচির', 'ভাষায়')	1	1	0.000246	0.000534	0.000123
('ভাষায়', 'বাজে')	1	5	0.000246	0.000533	0.000123
('বাজে', 'কথা')	1	1	0.000246	0.000534	0.000123
('কথা', 'বলেছেন')	3	43	0.000490	0.001332	0.000123
('বলেছেন', '</s>')	3	15	0.000492	0.001347	0.000123
('<s>', 'তিনি')	37	0	0.004683	0.015323	0.000124
('তিনি', 'কুরুচিপূর্ণ')	1	102	0.000243	0.000513	0.000123
('কুরুচিপূর্ণ', ',')	1	1	0.000246	0.000534	0.000123
(',', 'নোংরা')	1	779	0.000225	0.000405	0.000123
('নোংরা', ',')	1	3	0.000246	0.000533	0.000123
(',', 'অশ্লীল')	1	779	0.000225	0.000405	0.000123
('অশ্লীল', 'ও')	1	2	0.000246	0.000534	0.000123
('ও', 'অশোভন')	1	197	0.000241	0.000494	0.000123
('অশোভন', 'ভাষায়')	1	2	0.000246	0.000534	0.000123
('ভাষায়', 'কথা')	1	5	0.000246	0.000533	0.000123
('<s>', 'আমরা')	5	0	0.000739	0.002177	0.000123
('আমরা', 'তার')	2	27	0.000369	0.000935	0.000123
('তার', 'এহেন')	1	89	0.000244	0.000515	0.000123
('এহেন', 'বক্তব্যের')	1	2	0.000246	0.000534	0.000123
('নিন্দা', 'ও')	1	5	0.000246	0.000533	0.000123
('ও', 'ধিক্কার')	1	197	0.000241	0.000494	0.000123
('ধিক্কার', 'জানাচ্ছি')	1	1	0.000246	0.000534	0.000123
('জানাচ্ছি', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'সিরাজগঞ্জ')	1	0	0.000246	0.000534	0.000123
('সিরাজগঞ্জ', 'জেলা')	1	1	0.000246	0.000534	0.000123
('জেলা', 'আওয়ামী')	3	29	0.000491	0.001340	0.000123
('আওয়ামী', 'লীগের')	7	12	0.000984	0.002984	0.000123
('লীগের', 'ভারপ্রাপ্ত')	1	10	0.000246	0.000532	0.000123
('ভারপ্রাপ্ত', 'সাধারণ')	1	5	0.000246	0.000533	0.000123
('সাধারণ', 'সম্পাদক')	13	20	0.001721	0.005419	0.000123
('সম্পাদক', 'মো')	2	23	0.000369	0.000936	0.000123
('মো', '</s>')	13	13	0.001723	0.005435	0.000123
('<s>', 'আব্দুস')	1	0	0.000246	0.000534	0.000123
('আব্দুস', 'সামাদ')	1	1	0.000246	0.000534	0.000123
('সামাদ', 'তালুকদার')	1	1	0.000246	0.000534	0.000123
('তালুকদার', 'কালের')	1	1	0.000246	0.000534	0.000123
('কালের', 'কণ্ঠকে')	1	1	0.000246	0.000534	0.000123
('কণ্ঠকে', 'বলেন')	1	1	0.000246	0.000534	0.000123
(',', 'করোনা')	2	779	0.000337	0.000716	0.000123
('করোনা', 'অতিমারির')	1	20	0.000246	0.000530	0.000123
('অতিমারির', 'কারণে')	1	1	0.000246	0.000534	0.000123
('কারণে', 'নিয়মিত')	1	26	0.000246	0.000528	0.000123
('নিয়মিত', 'সভা')	1	2	0.000246	0.000534	0.000123
('সভা', 'করতে')	1	12	0.000246	0.000531	0.000123
('করতে', 'না')	1	80	0.000244	0.000517	0.000123
('না', 'পারায়')	2	115	0.000365	0.000902	0.000123
('পারায়', 'পূর্ণাঙ্গ')	1	2	0.000246	0.000534	0.000123
('পূর্ণাঙ্গ', 'কমিটির')	1	1	0.000246	0.000534	0.000123
('কমিটির', 'অনুমোদন')	2	5	0.000370	0.000943	0.000123
('অনুমোদন', 'দেওয়া')	2	6	0.000369	0.000943	0.000123
('দেওয়া', 'সম্ভব')	1	27	0.000246	0.000528	0.000123
('সম্ভব', 'হয়নি')	1	9	0.000246	0.000532	0.000123
('হয়নি', '</s>')	11	16	0.001476	0.004612	0.000123
('<s>', 'অচিরেই')	1	0	0.000246	0.000534	0.000123
('অচিরেই', 'এ')	1	1	0.000246	0.000534	0.000123
('এ', 'কমিটির')	1	95	0.000244	0.000514	0.000123
('দেওয়া', 'হবে')	2	27	0.000369	0.000935	0.000123
('<s>', 'যুবরাজ')	1	0	0.000246	0.000534	0.000123
('যুবরাজ', 'মোহাম্মদ')	2	2	0.000370	0.000944	0.000123
('মোহাম্মদ', 'বিন')	3	10	0.000492	0.001350	0.000123
('বিন', 'সালমান')	1	6	0.000246	0.000533	0.000123
('সালমান', '(')	1	2	0.000246	0.000534	0.000123
('(', 'বাঁয়ে')	2	95	0.000365	0.000909	0.000123
('বাঁয়ে', ')')	2	2	0.000370	0.000944	0.000123
(')', 'এবং')	2	94	0.000365	0.000910	0.000123
('এবং', 'বাদশাহর')	1	131	0.000243	0.000507	0.000123
('বাদশাহর', 'ছোট')	1	1	0.000246	0.000534	0.000123
('ছোট', 'ভাই')	1	15	0.000246	0.000531	0.000123
('ভাই', 'প্রিন্স')	1	4	0.000246	0.000533	0.000123
('প্রিন্স', 'আহমেদ')	1	3	0.000246	0.000533	0.000123
('আহমেদ', 'বিন')	1	8	0.000246	0.000532	0.000123
('বিন', 'আবদুল')	2	6	0.000369	0.000943	0.000123
('আবদুল', 'আজিজ')	2	4	0.000370	0.000943	0.000123
('আজিজ', '</s>')	1	3	0.000246	0.000533	0.000123
('<s>', '‘')	7	0	0.000986	0.002999	0.000123
('‘', 'দিন')	3	53	0.000490	0.001327	0.000123
('দিন', 'দ্য')	3	25	0.000491	0.001342	0.000123
('দ্য', 'ডে')	3	5	0.000493	0.001353	0.000123
('ডে', '’')	3	5	0.000493	0.001353	0.000123
('’', 'র')	9	72	0.001222	0.003711	0.000123
('র', 'বর্তমান')	1	29	0.000246	0.000528	0.000123
('বর্তমান', 'অবস্থা')	1	9	0.000246	0.000532	0.000123
('অবস্থা', 'নিয়ে')	1	4	0.000246	0.000533	0.000123
('নিয়ে', 'ইরান')	1	70	0.000244	0.000519	0.000123
